timestamp,token_volume,transaction_count,unique_wallets,new_wallets,sniper_tx_count,wash_tx_count,avg_tx_size
2025-02-14 21:00:00,-280200886.181948,17,2,2,11.0,7,146506038.73797002
2025-02-14 22:00:00,-253364891078.54147,437929,47749,47747,0.0,276135,1068921.7941412737
2025-02-14 23:00:00,-161565619602.92657,392468,52783,27194,0.0,230991,729859.9421627509
2025-02-15 00:00:00,-70248345123.67274,113734,21254,8231,0.0,69887,677800.023445835
2025-02-15 01:00:00,-310976122.00265867,51193,9009,3543,0.0,32911,52945.28881906899
2025-02-15 02:00:00,324996713.5594656,25541,6026,2223,0.0,16125,84342.59985573358
2025-02-15 03:00:00,-94258955.03823821,41118,8548,3251,0.0,26707,41368.68285518523
2025-02-15 04:00:00,154194243.2261761,16854,4271,1656,0.0,10416,51815.95273258662
2025-02-15 05:00:00,330815378.3383536,16365,3457,1313,0.0,10824,43823.47677102709
2025-02-15 06:00:00,-23492828.839695334,13798,2992,1132,0.0,9098,24561.166987699435
2025-02-15 07:00:00,63697397.917377725,16368,2960,1131,0.0,11584,27298.06753450729
2025-02-15 08:00:00,48016745.29178405,18987,3368,1346,0.0,13116,21635.315989468047
2025-02-15 09:00:00,449908440.59215665,10003,2471,880,0.0,6303,68557.12390468875
2025-02-15 10:00:00,270626251.8317204,8119,2098,808,0.0,5164,51589.727363901555
2025-02-15 11:00:00,233178377.9354996,8657,2375,894,0.0,5292,49370.97096325691
2025-02-15 12:00:00,139408106.1960031,7609,1896,604,0.0,4914,53912.1795526106
2025-02-15 13:00:00,235631438.14356878,5108,1447,512,0.0,3138,87101.54143582907
2025-02-15 14:00:00,136414653.92748013,4937,1486,518,0.0,2966,63698.84059979606
2025-02-15 15:00:00,112639131.75743942,4166,1230,430,0.0,2573,64141.70789553072
2025-02-15 16:00:00,67424540.71855272,14551,2616,958,0.0,9982,27995.61106307177
2025-02-15 17:00:00,258886467.20785013,7159,1616,552,0.0,4585,54162.18620425147
2025-02-15 18:00:00,27652682.5508258,4491,1187,349,0.0,2617,24218.59617137889
2025-02-15 19:00:00,312860754.92214537,31133,4062,1438,0.0,22212,38624.3491918004
2025-02-15 20:00:00,270339639.28782576,14825,2597,785,0.0,10026,37704.25977372575
2025-02-15 21:00:00,138612109.23340735,8626,1825,531,0.0,5264,31529.588860777403
2025-02-15 22:00:00,139936141.41975468,8757,1661,468,0.0,5559,31779.759594249666
2025-02-15 23:00:00,191137757.64859554,8211,1384,381,0.0,5030,35248.80234437834
2025-02-16 00:00:00,248545506.99747878,36459,5018,1503,0.0,25378,30623.33201377433
2025-02-16 01:00:00,398550064.95407027,22040,3648,1080,0.0,14436,43357.03186194691
2025-02-16 02:00:00,102431069.84112944,17955,3113,829,0.0,12465,26826.279932732807
2025-02-16 03:00:00,277347533.68507063,9725,1904,512,0.0,6551,45981.90939297448
2025-02-16 04:00:00,42102447.40380949,8101,1686,440,0.0,5569,24156.56571051196
2025-02-16 05:00:00,223452762.07237896,6322,1278,329,0.0,4460,52940.9146964432
2025-02-16 06:00:00,101562668.91611736,4591,1116,312,0.0,2988,39752.38072137634
2025-02-16 07:00:00,66928998.24122869,4196,1036,307,0.0,2674,32502.300291888332
2025-02-16 08:00:00,-50576844.75115099,4011,1058,288,0.0,2544,51515.44479280793
2025-02-16 09:00:00,-21100502.685357634,3066,799,200,0.0,1969,12444.2550258141
2025-02-16 10:00:00,8841972.559978519,2850,821,240,0.0,1801,27788.049298471222
2025-02-16 11:00:00,48934143.7451843,2755,774,224,0.0,1695,37461.445536681764
2025-02-16 12:00:00,195951672.9538042,3343,872,260,0.0,2089,76699.0458745904
2025-02-16 13:00:00,132637647.60672231,3242,983,280,0.0,1944,60474.85094697204
2025-02-16 14:00:00,120346916.52837302,3136,1059,300,0.0,1772,94477.1499940377
2025-02-16 15:00:00,135891881.10770634,4598,1252,394,0.0,2860,48337.779352755875
2025-02-16 16:00:00,17722026.19596611,4580,1183,331,0.0,3007,14987.524353774608
2025-02-16 17:00:00,20397484.06262367,4480,980,255,0.0,2971,14232.63482666258
2025-02-16 18:00:00,-8504255.620047234,2987,831,211,0.0,1900,11002.09599216931
2025-02-16 19:00:00,106414161.6214901,2937,755,178,0.0,1859,49962.058950729006
2025-02-16 20:00:00,-39154311.62249827,3108,782,188,0.0,1917,53599.572345395674
2025-02-16 21:00:00,16223408.171026887,1828,669,155,0.0,1030,22941.728868279668
2025-02-16 22:00:00,81473122.19045019,2955,828,176,0.0,1890,42208.92442857232
2025-02-16 23:00:00,74903818.55478841,3868,977,220,0.0,2496,37704.97776058892
2025-02-17 00:00:00,2956226.1887581334,3367,796,161,0.0,2341,16095.845242061552
