timestamp,token_volume,transaction_count,unique_wallets,new_wallets,sniper_tx_count,wash_tx_count,avg_tx_size
2025-01-17 14:00:00,-875000000.0,18,3,3,1.0,7,170833333.33333334
2025-01-17 15:00:00,-45000000.0,3,2,1,0.0,0,548333333.3333334
2025-01-17 16:00:00,0.0,0,0,0,0.0,0,0.0
2025-01-17 17:00:00,0.0,0,0,0,0.0,0,0.0
2025-01-17 18:00:00,0.0,0,0,0,0.0,0,0.0
2025-01-17 19:00:00,0.0,0,0,0,0.0,0,0.0
2025-01-17 20:00:00,0.0,0,0,0,0.0,0,0.0
2025-01-17 21:00:00,0.0,0,0,0,0.0,0,0.0
2025-01-17 22:00:00,0.0,11,6,6,0.0,0,0.0
2025-01-17 23:00:00,0.0,10,7,3,0.0,0,0.0
2025-01-18 00:00:00,0.0,1,1,1,0.0,0,0.0
2025-01-18 01:00:00,0.0,1,1,0,0.0,0,0.0
2025-01-18 02:00:00,-216470510234.9828,244286,22665,22657,0.0,167966,2250852.3544430896
2025-01-18 03:00:00,-84961477987.52888,354270,46105,33370,0.0,235844,1386957.3914085557
2025-01-18 04:00:00,-89963932636.40073,346279,55063,31041,0.0,224641,518772.8850858934
2025-01-18 05:00:00,-62656509542.640816,348194,54108,28263,0.0,230979,281018.9198840535
2025-01-18 06:00:00,-29886936140.521107,397434,66750,32085,0.0,259852,187572.1029380217
2025-01-18 07:00:00,-18931538919.986656,316495,49573,22114,0.0,218434,207423.7871747157
2025-01-18 08:00:00,13662866307.204615,336683,48914,22670,0.0,240331,112980.95230115342
2025-01-18 09:00:00,8306222746.401655,310192,49913,23767,0.0,219599,87787.44158717417
2025-01-18 10:00:00,18830253063.604057,409669,62802,28525,0.0,281559,108896.4176658011
2025-01-18 11:00:00,12767312993.253334,314138,52294,22160,0.0,219894,95753.18804968508
2025-01-18 12:00:00,12167701337.932463,244697,39804,17358,0.0,174488,119711.27933597883
2025-01-18 13:00:00,10603707473.567501,295524,46320,17960,0.0,211774,94967.4085135397
2025-01-18 14:00:00,14373196266.73178,361353,58714,22849,0.0,254298,107171.98844160473
2025-01-18 15:00:00,18529254516.66872,398623,69544,27010,0.0,279660,85491.8074917629
2025-01-18 16:00:00,17001975666.03934,404776,68686,23993,0.0,290997,63980.63710934538
2025-01-18 17:00:00,17763073216.40747,352762,55511,19201,0.0,259685,96069.71595912654
2025-01-18 18:00:00,20660827052.37017,286481,45541,17705,0.0,213131,111372.74074616845
2025-01-18 19:00:00,15483641871.190512,257018,39279,13643,0.0,194133,85533.77487078123
2025-01-18 20:00:00,18506775043.22328,336883,50439,15514,0.0,252228,86405.51981975857
2025-01-18 21:00:00,13395669885.80843,236921,32772,11606,0.0,181343,105924.31033639485
2025-01-18 22:00:00,15053040053.15509,163165,26055,9949,0.0,122510,128357.88251975698
2025-01-18 23:00:00,18025373331.05724,185005,30160,10762,0.0,137567,128221.34541989164
2025-01-19 00:00:00,11494591606.053566,178693,24841,8336,0.0,139829,88310.95471414045
2025-01-19 01:00:00,9712267311.886219,169459,23521,7162,0.0,133334,74233.56169043249
2025-01-19 02:00:00,11101471925.594728,187590,24688,7171,0.0,147935,82329.32559770945
2025-01-19 03:00:00,24153996654.22385,238098,34677,10557,0.0,180405,120990.2888129798
2025-01-19 04:00:00,28002644279.321003,305450,53875,15671,0.0,216462,108238.0817477953
2025-01-19 05:00:00,27975694538.66113,307185,52221,16381,0.0,223620,104624.68526143726
2025-01-19 06:00:00,24692468343.46588,260631,45011,13379,0.0,188140,111233.53272391428
2025-01-19 07:00:00,23964421620.511765,325305,58787,18125,0.0,227052,86240.01838826899
2025-01-19 08:00:00,26006922374.438168,364862,63416,19889,0.0,259410,94000.83462649949
2025-01-19 09:00:00,19812956304.819023,372005,78047,23461,0.0,240278,74010.41728488648
2025-01-19 10:00:00,29583607655.33881,367168,65392,21666,0.0,261625,97531.5950928637
2025-01-19 11:00:00,31677660481.36964,347643,60419,19511,0.0,250466,114583.17361699129
2025-01-19 12:00:00,27819273769.787754,320222,56877,18415,0.0,234287,109495.88590177531
2025-01-19 13:00:00,28856193068.21727,260891,47771,16119,0.0,190708,132772.00476893093
2025-01-19 14:00:00,35773858560.6722,348360,64937,17791,0.0,251345,119494.00450091923
2025-01-19 15:00:00,33209277192.18538,333813,62059,17707,0.0,241415,121223.76322697493
2025-01-19 16:00:00,32097098489.81507,242276,45227,14097,0.0,177710,160055.0912314665
2025-01-19 17:00:00,31378648006.620564,212858,41203,13385,0.0,155782,167395.5604104173
2025-01-19 18:00:00,35960513428.26997,223905,40528,12721,0.0,165831,178269.4272058394
2025-01-19 19:00:00,29454569006.56686,184459,36921,11796,0.0,132654,176094.2656732616
2025-01-19 20:00:00,42914525105.041756,183460,37665,11227,0.0,129475,256390.31373430064
2025-01-19 21:00:00,30534537655.481953,189661,39738,8030,0.0,131541,185429.563365548
2025-01-19 22:00:00,18068775849.494644,131244,35652,7577,0.0,82623,171793.70115255215
2025-01-19 23:00:00,10119955589.338833,120075,29615,5901,0.0,80249,105979.66427803597
2025-01-20 00:00:00,19948270505.786842,211172,41700,9120,0.0,154610,114720.21758109792
2025-01-20 01:00:00,23767891181.529697,255631,38200,9543,0.0,202983,113315.48096130393
2025-01-20 02:00:00,21471653097.60164,219562,35509,9289,0.0,170836,114550.35201710017
2025-01-20 03:00:00,17462771907.993557,180827,29172,7445,0.0,140020,111496.1918867524
