Topic,Count,Name,Representation,Representative_Docs
-1,4242,-1_trump_coin_go_people,"['trump', 'coin', 'go', 'people', 'buy', 'get', 'money', 'like', 'crypto', 'make']","['I agree go rug pull need money also care image successful coin make people money consider successful win want buy low sell take profit quite comical see people lose shit hate trump much', 'I understand people buy shit coin hold sort value use sale good somewhere seem every day new currency create pump dump people cry sec need something lose money gullible simply put money fantasy lottery ticket I would say investment oh currency make 24hrs ago base nothing work shocker I sure lot research impulse buy sorry correct side get rich quick scam sorry hard feel bad people get rug pull type shit explanation would appreciate', 'easy way take legally take bribe I see add say I think go start see lot stuff go see crypto bribe form let say billionaire want buy 1000 btc right $ 106 million dollar probably save $ 10 million pay trump something temporarily tank bitcoin maybe agree spend $ 1 million wife shitcoin exchange tweet tank bitcoin save $ 11 million spend $ 1 million bribe still ahead $ 10 million easy money go see lot next four year get ready eric coin djtj coin people make fortune commit old school financial fraud go swoop crypto see easy mark sadly wrong evil wrong way many sucker space fall scam scam freak every time bitcoin alt drop one stay safe think long term']"
0,8056,0_crypto_coin_trump_go,"['crypto', 'coin', 'trump', 'go', 'people', 'get', 'like', 'buy', 'money', 'make']","['think crypto get elect I think lot people like I vote happy see bag pump', 'memecoin 538x trump monster oh memecoin go value pretty well every memecoin time totally different upforever must scam obviously I force buy first place crypto invest unrealistic expect coin lose value surely nobody invest coin 538x could make profit sure I buy top eat big loss trump guarantee profit I since name I lose money crypto course somebody else fault obviously trump terrible crypto need people like gary gensler return really help push crypto forward', 'go trump coin']"
1,189,1_rug_pull_rugpull_people,"['rug', 'pull', 'rugpull', 'people', 'rugge', 'get', 'buy', 'go', 'president', 'still']","['go get rug pull', 'trump pull rug', 'rug pull trump']"
2,92,2_grift_grifter_family_grifte,"['grift', 'grifter', 'family', 'grifte', 'keep', 'grifting', 'people', 'fuck', 'burn', 'go']","['grift grift people eat', 'go grift end grift', 'grifter go grift']"
3,70,3_news_tweet_coffeezilla_twitter,"['news', 'tweet', 'coffeezilla', 'twitter', 'video', 'sell', 'youtube', 'patrion', 'coffeezila', 'information']","['people dump news mean', 'lately bad news dump news dump good news dump', 'I know sell news news']"
4,64,4_clown_circus_crazy_insane,"['clown', 'circus', 'crazy', 'insane', 'vote', 'elect', 'year', 'show', 'go', 'ridiculous']","['market clown', 'every circus need clown', 'clown circus become']"
5,44,5_burger_wendys_dump_doughnut,"['burger', 'wendys', 'dump', 'doughnut', 'wake', 'sell', 'australia', 'minute', '120k', 'asia']","['get buy next burger', 'always wendys burger king', 'burger mean']"
6,35,6_thank_dm_appreciate_pls,"['thank', 'dm', 'appreciate', 'pls', 'please', 'comment', 'link', 'great', 'brother', 'wow']","['thank much I really appreciate', 'dm would great thank', 'could dm I thank']"
7,21,7_smelania_damn_lol_sminem,"['smelania', 'damn', 'lol', 'sminem', 'smelanias', 'miliania', 'titbit', 'schoolyard', 'shadiness', 'smeliana']","['buy smelania really think', 'I want buy smelania', 'buy smelania']"
